Basis DSP Country > Primary Region > Secondary Region > Zip/Postal Code Report -- DAILY GEO ZIP REPORT ISO
Date Range: 1/17/2020 to 1/20/2020

Date,Campaign ID,Campaign Name,Start Date,End Date,Country,Primary Region,Secondary Region,Zip/Postal Code,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
1/19/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88231,128,0,0.00%,$3.99 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.39 ,$0.13 ,$0.51 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88240,3585,3,0.08%,$4.05 ,$4.84 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$10.88 ,$3.66 ,$14.53 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88241,14,0,0.00%,$4.10 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.04 ,$0.02 ,$0.06 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88244,317,0,0.00%,$4.06 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.95 ,$0.34 ,$1.29 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88260,1257,0,0.00%,$4.06 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$3.80 ,$1.30 ,$5.10 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88265,3,0,0.00%,$4.11 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/20/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88231,46,1,2.17%,$4.04 ,$0.19 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.14 ,$0.05 ,$0.19 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/20/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88240,3966,4,0.10%,$4.06 ,$4.02 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$12.04 ,$4.05 ,$16.09 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/20/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88241,23,0,0.00%,$4.13 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.07 ,$0.03 ,$0.10 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/20/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88244,289,0,0.00%,$3.99 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.86 ,$0.30 ,$1.15 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
