SiteScout RTB AD_DEVICE_TYPE Report -- AD_DEVICE_TYPE_DAILY_CAMPAIGN_report_30.csv
Date Range: 10/1/2023 to 10/31/2023

Date,Campaign ID,Campaign Name,Start Date,End Date,Ad ID,Ad Label,Device Type,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106908,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_320x50,DESKTOP,238,0,0.00%,$3.60 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.31 ,$0.55 ,$0.86 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106908,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_320x50,DESKTOP,171,0,0.00%,$3.60 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.22 ,$0.40 ,$0.62 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),10/1/2023,10/2/2023,7106910,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US)_300x50,DESKTOP,183,0,0.00%,$4.64 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.24 ,$0.61 ,$0.85 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),10/1/2023,10/2/2023,7106910,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US)_300x50,DESKTOP,110,1,0.91%,$4.64 ,$0.51 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.15 ,$0.36 ,$0.51 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106911,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_728x90,DESKTOP,1063,1,0.09%,$3.61 ,$3.83 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$1.38 ,$2.46 ,$3.83 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),10/1/2023,10/2/2023,7106911,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US)_728x90,DESKTOP,713,1,0.14%,$3.60 ,$2.57 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.92 ,$1.65 ,$2.57 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),10/1/2023,10/2/2023,7106912,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US)_320x50,DESKTOP,248,0,0.00%,$4.62 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.33 ,$0.82 ,$1.15 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),10/1/2023,10/2/2023,7106912,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US)_320x50,DESKTOP,164,0,0.00%,$4.64 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.22 ,$0.54 ,$0.76 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/1/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),10/1/2023,10/2/2023,7106913,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US)_970x90,DESKTOP,131,1,0.76%,$4.63 ,$0.61 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.17 ,$0.43 ,$0.61 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
10/2/2023,1111,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US),10/1/2023,10/2/2023,7106913,LANDAIRSEA002CP_[CPC]_Display_|BT|(DNB: Job Titles)_Oct_Geo(US)_970x90,DESKTOP,82,0,0.00%,$4.65 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.11 ,$0.27 ,$0.38 ,0,0,0,0,0,0.00%,$0.00 ,0,0,0,$0.00 
